CITIES,INDIC_UR\TIME	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Le Havre,Population on the 1st of January, total	260,189	:	:	:	:	:	:	:	:	255,082	:	:	:	:	:	:	246,196	:	:	241,080	200,287 b	198,966	197,923	196,970	197,501	197,314	195,317	:	:	:
Rennes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	394,201	207,178 b	208,033	209,860	211,373	213,454	215,366	216,268	:	:	:
Amiens,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	175,519	136,883 b	136,758	136,155	136,136	135,924	136,328	137,299	:	:	:
Nancy,Population on the 1st of January, total	256,371	:	:	:	:	:	:	:	:	258,268	:	:	:	:	:	:	258,525	:	:	257,054	204,350 b	203,728	203,750	202,134	202,448	203,762	203,660	:	:	:
Metz,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	220,005	169,528 b	168,542	167,833	167,162	166,298	166,006	167,489	:	:	:
Reims,Population on the 1st of January, total	207,393	:	:	:	:	:	:	:	:	214,448	:	:	:	:	:	:	211,050	:	:	208,597	206,228 b	206,684	207,927	208,625	209,270	210,614	210,007	:	:	:
Orléans,Population on the 1st of January, total	245,849	:	:	:	:	:	:	:	:	266,446	:	:	:	:	:	:	272,572	:	:	272,204	201,901 b	202,146	202,517	202,960	204,703	205,518	205,741	:	:	:
Dijon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	245,047	192,122 b	192,629	193,388	194,507	195,500	196,698	196,872	:	:	:
Poitiers,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	136,022	97,744 b	97,913	97,638	97,401	97,391	97,914	97,969	:	:	:
Clermont-Ferrand,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	279,385	189,579 b	190,806	191,515	191,998	192,220	192,850	194,202	:	:	:
Caen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	217,283	146,106 b	146,254	146,044	144,929	144,738	145,111	144,736	:	:	:
Limoges,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	199,096	149,542 b	148,175	146,634	145,658	145,311	144,558	143,643	:	:	:
Besançon,Population on the 1st of January, total	161,672	:	:	:	:	:	:	:	:	170,696	:	:	:	:	:	:	175,299	:	:	177,142	116,914 b	115,879	116,353	116,952	116,690	116,676	116,466	:	:	:
Grenoble,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	396,959	297,877 b	300,985	302,914	304,609	305,784	306,494	304,311	:	:	:
Ajaccio,Population on the 1st of January, total	67,686	:	:	:	:	:	:	:	:	63,707	:	:	:	:	:	:	76,331	:	:	78,023	79,501	81,104	80,751	82,327	83,756	:	:	:	:	:
Saint Denis,Population on the 1st of January, total	156,852	:	:	:	:	:	:	:	:	176,283	:	:	:	:	:	:	190,625	:	:	198,078	145,022 b	145,347	145,238	142,442	144,642	146,985	147,920	:	:	:
Fort-de-France,Population on the 1st of January, total	163,969	:	:	:	:	:	:	:	:	166,139	:	:	:	:	:	:	168,720	:	:	165,428	108,030 b	107,347	105,770	104,096	103,596	102,417	100,925	:	:	:
Toulon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	424,336	324,624 b	323,197	325,811	325,478	327,290	330,283	333,248	:	:	:
Valenciennes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	191,416	103,281 b	103,658	102,689	102,071	103,291	104,010	103,431	:	:	:
Tours,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	277,989	236,852 b	237,922	239,373	240,199	241,933	241,944	242,605	:	:	:
Angers,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	262,634	171,651 b	173,145	173,921	175,362	176,974	178,153	178,339	:	:	:
Brest,Population on the 1st of January, total	208,265	:	:	:	:	:	:	:	:	213,545	:	:	:	:	:	:	:	:	:	207,646	141,303 b	140,547	139,676	139,386	139,384	139,163	139,342	:	:	:
Le Mans,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	182,681	150,073 b	150,798	151,286	151,821	151,333	150,789	150,438	:	:	:
Avignon,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	175,659	106,414 b	107,093	106,382	107,649	109,685	109,693	109,934	:	:	:
Mulhouse,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	251,271	178,541 b	179,656	180,506	181,983	181,134	180,556	179,436	:	:	:
Dunkerque,Population on the 1st of January, total	208,548	:	:	:	:	:	:	:	:	208,705	:	:	:	:	:	:	:	:	:	197,151	139,952 b	139,029	138,649	137,627	138,557	138,163	136,883	:	:	:
Perpignan,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	252,044	126,493 b	127,437	129,888	130,536	130,288	131,724	131,696	:	:	:
Nîmes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	230,961	142,205 b	144,940	146,709	150,564	151,075	150,672	151,001	:	:	:
Pau,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	148,591	113,418 b	112,482	110,987	110,254	110,583	110,180	110,214	:	:	:
Bayonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	121,724	108,158 b	108,815	110,408	111,669	111,524	112,388	114,029	:	:	:
Annemasse,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,457	57,148 b	58,031	58,700	60,427	61,197	61,580	61,104	:	:	:
Annecy,Population on the 1st of January, total	119,372	:	:	:	:	:	:	:	:	128,128	:	:	:	:	:	:	:	:	:	135,940	118,821 b	119,426	119,454	121,809	124,376	125,694	126,419	:	:	:
Lorient,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	185,977	79,423 b	79,572	79,848	79,835	79,527	79,662	79,673	:	:	:
Montbéliard,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	117,721	117,495	117,645	117,063	116,166	115,356	:	:	:	:	:
Troyes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	126,477	105,095 b	104,344	104,569	104,349	105,279	105,983	105,930	:	:	:
Saint-Nazaire,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	115,927	67,031 b	67,097	67,940	68,513	69,350	69,784	69,719	:	:	:
La Rochelle,Population on the 1st of January, total	125,920	:	:	:	:	:	:	:	:	139,875	:	:	:	:	:	:	:	:	:	145,921	82,400 b	82,113	81,359	81,600	82,197	82,557	82,836	:	:	:
Angoulême,Population on the 1st of January, total	101,636	:	:	:	:	:	:	:	:	102,368	:	:	:	:	:	:	:	:	:	103,895	103,172	103,578	104,137	103,977	104,195	:	:	:	:	:
Boulogne-sur-Mer,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	118,902	78,396 b	77,984	78,308	77,882	77,375	76,806	75,960	:	:	:
Chambéry,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	121,527	84,556 b	85,644	85,239	85,955	87,025	87,426	87,511	:	:	:
Chalon-sur-Saône,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	105,101	104,907	105,088	105,136	106,018	106,018	:	:	:	:	:
Chartres,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	108,629	76,114 b	76,623	76,619	76,277	76,451	77,071	76,677	:	:	:
Niort,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	101,532	102,931	103,730	103,707	103,874	105,297	:	:	:	:	:
Calais,Population on the 1st of January, total	95,646	:	:	:	:	:	:	:	:	98,525	:	:	:	:	:	:	:	:	:	96,377	73,636 b	72,915	72,589	72,520	76,402	75,961	74,978	:	:	:
Béziers,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	108,027	70,955 b	71,432	72,970	74,811	75,701	75,999	76,493	:	:	:
Arras,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	92,359	68,712 b	68,819	68,963	68,682	69,201	68,949	69,222	:	:	:
Bourges,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,997	66,381 b	66,602	66,666	67,189	66,528	66,071	65,555	:	:	:
Saint-Brieuc,Population on the 1st of January, total	103,406	:	:	:	:	:	:	:	:	106,912	:	:	:	:	:	:	:	:	:	113,801	65,246 b	65,362	65,326	65,072	64,874	64,842	64,841	:	:	:
Quimper,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	86,210	86,546	86,714	87,037	87,421	87,698	:	:	:	:	:
Vannes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	130,259	131,323	132,680	133,852	135,807	136,894	:	:	:	:	:
Cherbourg,Population on the 1st of January, total	92,045	:	:	:	:	:	:	:	:	88,588	:	:	:	:	:	:	:	:	:	83,294	82,427 b	81,690	81,103	80,978	80,959	80,616	80,076	:	:	:
Tarbes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,995	74,442	74,520	73,677	73,340	73,461	:	:	:	:	:
Compiègne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	70,489	70,264	69,278	69,951	70,396	70,718	:	:	:	:	:
Belfort,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	94,848	65,337 b	65,403	65,410	65,538	65,144	64,947	64,326	:	:	:
Roanne,Population on the 1st of January, total	74,360	:	:	:	:	:	:	:	:	71,004	:	:	:	:	:	:	:	:	:	69,189	47,520 b	46,922	46,524	46,197	45,941	45,503	45,354	:	:	:
Saint-Quentin,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	72,561	55,978 b	56,278	56,217	55,698	55,878	55,649	54,373	:	:	:
Beauvais,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,221	79,380	78,807	78,770	79,787	79,389	:	:	:	:	:
Creil,Population on the 1st of January, total	69,230	:	:	:	:	:	:	:	:	67,818	:	:	:	:	:	:	:	:	:	71,821	71,105 b	71,637	71,653	72,289	73,717	74,782	75,115	:	:	:
Evreux,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,025	81,585	80,545	81,100	81,420	81,475	:	:	:	:	:
Châteauroux,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	73,837	72,923	72,323	71,750	72,014	71,689	:	:	:	:	:
Brive-la-Gaillarde,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,930	79,276	78,826	78,049	77,504	77,759	:	:	:	:	:
Albi,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	79,999	80,173	80,729	80,962	81,334	81,862	:	:	:	:	:
Fréjus,Population on the 1st of January, total	68,102	:	:	:	:	:	:	:	:	77,472	:	:	:	:	:	:	:	:	:	86,479	85,442 b	85,968	86,647	87,044	88,078	88,193	88,390	:	:	:
Châlons-en-Champagne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,247	63,368	63,278	63,594	63,606	63,966	:	:	:	:	:
Aubagne,Population on the 1st of January, total	66,707	:	:	:	:	:	:	:	:	73,895	:	:	:	:	:	:	:	:	:	103,904	104,264	103,887	103,364	103,477	104,073	:	:	:	:	:
Aix-en-Provence,Population on the 1st of January, total	302,133	:	:	:	:	:	:	:	:	332,653	:	:	:	:	:	:	354,660	:	:	355,951	141,438 b	140,684	141,148	141,545	142,149	142,668	143,006	:	:	:
Marseille,Population on the 1st of January, total	969,323	:	:	:	:	:	:	:	:	981,769	:	:	:	:	:	:	1,023,973	:	:	1,038,933	881,164 b	881,853	884,102	887,358	890,119	893,431	893,802	:	:	:
Nice,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	520,252	674,109 b	674,513	674,227	671,870	673,669	672,480	672,557	:	:	:
CA de Sophia-Antipolis,Population on the 1st of January, total	148,514	:	:	:	:	:	:	:	:	159,392	:	:	:	:	:	:	:	:	:	174,162	173,452	174,592	174,277	174,322	174,122	:	:	:	:	:
Lens - Liévin,Population on the 1st of January, total	251,585	:	:	:	:	:	:	:	:	250,199	:	:	:	:	:	:	246,097	:	:	245,741	184,973 b	185,029	182,927	181,489	181,909	181,039	179,787	:	:	:
Hénin - Carvin,Population on the 1st of January, total	129,039	:	:	:	:	:	:	:	:	125,313	:	:	:	:	:	:	:	:	:	123,067	123,702	124,461	124,049	124,368	124,841	:	:	:	:	:
Douai,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	152,270	89,388 b	88,963	88,532	87,858	87,204	86,391	85,859	:	:	:
Marne la Vallée,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	86,284	86,432	86,812	87,712	87,705	87,601	:	:	:	:	:
Versailles,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	182,143	181,474	181,861	181,024	182,105	182,515	:	:	:	:	:
CC de la Boucle de la Seine,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	169,184	169,624	170,305	170,904	170,904	171,347	:	:	:	:	:
Sénart en Essonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	16,195	16,665	17,157	18,169	18,855	19,536	:	:	:	:	:
Valence,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	119,332	93,072 b	93,262	92,754	92,036	92,582	93,415	93,604	:	:	:
Rouen,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	486,492	306,967 b	307,434	308,253	308,295	309,596	308,997	309,092	:	:	:
CA Marne et Chantereine,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	74,791	75,471	76,221	77,294	77,587	78,216	:	:	:	:	:
CA des deux Rives de la Seine,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,771	65,014	65,270	64,784	65,196	65,905	:	:	:	:	:
CC des Coteaux de la Seine,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	36,565	36,692	36,813	36,726	37,060	37,182	:	:	:	:	:
CA Europ' Essonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	130,194	132,556	134,577	136,031	139,260	143,182	:	:	:	:	:
CA Brie Francilienne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	57,490	57,884	58,896	60,151	60,396	61,089	:	:	:	:	:
CA les Portes de l'Essonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	52,167	52,147	51,916	51,886	52,908	54,972	:	:	:	:	:
CA Val et Forêt,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	83,923	83,879	84,001	84,505	85,604	86,384	:	:	:	:	:
CC de l'Ouest de la Plaine de France,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	45,715	46,088	46,599	46,875	47,286	47,930	:	:	:	:	:
CA le Parisis,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	88,262	89,355	90,662	91,879	92,702	94,139	:	:	:	:	:
Melun,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	106,877	82,805 b	82,754	83,961	83,885	84,473	84,503	85,020	:	:	:
Meaux,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	82,726	59,200 b	60,725	62,324	62,751	62,515	62,933	63,754	:	:	:
Mantes en Yvelines,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	86,735	84,351 b	84,774	85,512	87,286	86,948	86,887	86,308	:	:	:
Evry,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	115,156	114,720	114,402	114,503	115,985	116,430	:	:	:	:	:
CA du Plateau de Saclay,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	96,259	96,416	96,890	96,738	98,152	100,039	:	:	:	:	:
CA de Seine Essonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	64,315	65,040	66,130	67,904	69,872	71,836	:	:	:	:	:
CA du Val d'Orge,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	125,748	126,577	128,483	130,024	131,450	131,668	:	:	:	:	:
CA du Val d'Yerres,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	89,887	90,035	90,151	90,878	91,709	92,146	:	:	:	:	:
CA Sénart - Val de Seine,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	78,499	78,711	79,893	82,324	83,408	83,823	:	:	:	:	:
CA Val de France,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	139,954	138,883	139,277	139,967	140,742	140,658	:	:	:	:	:
CA de la Vallée de Montmorency,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	108,621	108,422	108,621	109,254	109,425	109,781	:	:	:	:	:
Martigues,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	69,181	64,760 b	64,825	64,736	65,112	66,236	66,493	65,465	:	:	:
Argenteuil - Bezons,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	130,844	131,088	132,578	133,101	134,639	137,296	:	:	:	:	:
Cergy-Pontoise,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	190,427	190,975	192,809	194,734	195,514	197,985	:	:	:	:	:
Charleville-Mézières,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	67,712	67,751	67,602	67,975	67,300	66,831	:	:	:	:	:
Colmar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	95,437	67,615 b	67,409	67,257	67,956	68,784	70,284	69,899	:	:	:
CA des Lacs de l'Essonne,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	58,493	58,685	58,836	58,934	58,848	59,645	:	:	:	:	:
Saint-Quentin en Yvelines,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	144,714	144,228	144,408	144,467	144,929	144,881	:	:	:	:	:
Cannes,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	73,744	:	:	:	:	:
Zagreb,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	779,145	:	:	773,543	:	:	:	:	:	:	:	:	791,946	793,049	799,999	801,349	802,701	804,049	:
Rijeka,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	144,043	:	:	142,433	:	:	:	:	:	:	:	:	126,215	124,838	123,725	121,975	120,250	118,549	:
Slavonski Brod,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	64,612	:	:	:	:	:	:	:	:	:	:	:	58,265	57,764	57,797	56,769	55,759	54,767	:
Osijek,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	114,616	:	:	:	:	:	:	:	:	:	:	:	106,964	106,345	106,610	105,921	105,236	104,556	:
Split,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	188,694	:	:	:	:	:	:	:	:	:	:	:	176,352	175,353	174,333	173,109	171,894	170,687	:
Pula - Pola,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	56,676	56,540	56,404	56,269	:
Zadar,Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	75,537	75,346	75,155	74,965	:
Italy,Population on the 1st of January, total	:	56,744,119	56,772,923	56,821,250	56,842,392	56,844,408	56,844,197	56,876,364	56,904,379	56,909,109	56,923,524	57,844,017 e	56,993,742	57,321,070	57,888,245	:	:	:	58,652,875	59,000,586	59,190,143	59,364,690	59,394,207	59,685,227	60,782,668	60,795,612	60,665,551	60,589,445	60,483,973	:
Roma,Population on the 1st of January, total	:	2,775,250	2,769,012	2,727,693	2,697,560	2,674,863	2,653,253	2,630,040	2,610,178	2,587,635	2,570,489	2,546,804	2,545,860	2,540,829	2,542,003	2,553,873	2,547,677	2,705,603	2,572,486	2,576,803	2,590,650	2,608,530	2,614,263	2,638,842	2,863,322	2,872,021	2,864,731	2,873,494	2,872,800	:
Milano,Population on the 1st of January, total	:	1,369,231	1,363,094	1,352,309	1,331,716	1,319,140	1,301,188	1,293,813	1,286,172	1,276,500	1,268,062	1,256,211	1,253,503	1,247,052	1,271,898	1,299,439	1,308,735	1,303,437	1,226,884	1,214,647	1,220,152	1,230,912	1,240,173	1,262,101	1,324,169	1,337,155	1,345,851	1,351,562	1,366,180	:
Milano (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	3,792,173	3,802,055	3,824,161	3,854,555	3,875,801	3,925,767	4,038,864	4,061,382	4,074,585	4,087,060	4,106,356	:
Napoli,Population on the 1st of January, total	:	1,067,365	1,070,685	1,059,984	1,052,542	1,039,675	1,026,702	1,020,702	1,020,089	1,013,903	1,007,464	1,004,500	1,004,577	1,008,419	1,000,449	995,171	984,242	975,139	971,350	963,899	965,503	962,661	961,106	959,052	989,111	978,399	974,074	970,185	966,144	:
Napoli (greater city),Population on the 1st of January, total	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	3,058,153	3,049,274	3,054,250	3,055,218	3,053,247	3,055,339	3,127,390	3,118,149	3,113,898	3,107,006	3,101,002	:
Torino,Population on the 1st of January, total	:	962,507	960,188	960,405	949,532	934,918	920,952	910,624	900,094	889,942	879,285	865,263	864,671	861,644	867,857	902,255	900,608	900,569	876,282	876,940	877,359	874,320	869,312	872,091	902,137	896,773	890,529	886,837	882,523	:
Palermo,Population on the 1st of January, total	:	698,556	699,519	699,756	698,860	698,720	696,781	696,345	696,772	696,650	694,912	686,722	686,045	682,901	679,730	675,277	670,820	666,552	665,252	662,222	659,193	659,326	656,829	654,987	678,492	678,492	674,435	673,735	668,405	:
Genova,Population on the 1st of January, total	:	678,771	677,946	669,262	662,049	653,872	646,963	640,512	634,101	627,349	620,920	610,307	609,399	604,732	601,338	605,084	620,316	615,686	592,370	592,165	590,350	587,680	584,644	582,320	596,958	592,507	586,655	583,601	580,097	:
Firenze,Population on the 1st of January, total	:	403,294	401,529	396,115	390,031	385,313	380,348	375,165	371,889	366,820	362,828	356,118	355,315	352,940	367,259	368,059	366,901	365,966	349,606	350,434	354,300	356,419	357,318	366,039	377,207	381,037	382,808	382,258	380,948	:
Bari,Population on the 1st of January, total	:	342,309	342,142	339,830	336,061	334,410	332,657	330,199	326,751	324,082	322,080	316,532	316,278	315,068	314,166	328,458	326,915	325,052	316,136	315,219	315,369	316,483	315,408	313,213	322,751	327,361	326,344	324,198	323,370	:
Bologna,Population on the 1st of January, total	:	404,378	403,489	388,689	384,407	378,707	375,878	374,025	373,306	372,799	372,644	371,217	370,363	373,018	373,539	374,425	373,743	373,026	363,636	365,844	367,451	369,653	371,151	380,635	384,202	386,181	386,663	388,367	389,261	:
Catania,Population on the 1st of January, total	:	333,075	333,634	331,185	328,427	326,841	322,068	321,130	320,498	317,910	316,516	313,110	312,205	308,438	307,774	305,773	304,144	301,564	300,252	298,104	297,652	295,817	293,104	290,678	315,576	315,601	314,555	313,396	311,620	:
Venezia,Population on the 1st of January, total	:	309,422	308,848	304,362	300,398	296,612	294,503	292,077	289,404	287,425	273,988	271,073	270,963	269,566	271,663	271,251	269,780	268,934	261,913	262,474	262,672	262,254	260,856	259,263	264,534	264,579	263,352	261,905	261,321	:
Verona,Population on the 1st of January, total	:	255,824	255,799	253,991	252,041	251,299	250,798	251,096	250,921	250,813	251,140	253,208	253,267	256,110	258,115	259,068	259,380	260,718	257,266	257,371	255,550	253,597	251,842	253,409	259,966	260,125	258,765	257,353	257,275	:
